amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
              :ARG1 (z13 / orang
                         :location (z14 / negara
                                        :wiki ""UnitedStates""
                                        :name (z15 / nama
                                                   :op1 ""America""))
                         :ARG0-of (z16 / menentang-01
                                       :ARG1 (z17 / organisasi-pemerintah
                                                  :ARG0-of (z18 / memerintah-01
                                                                :ARG1 (z19 / negara
                                                                           :wiki ""Iraq""
                                                                           :name (z20 / nama
                                                                                      :op1 ""Iraq""))))))
              :manner (z21 / diam-diam)))"
"# ::id 1776
# ::annotator indoamrbart-mbart-fted
# ::snt Sebuah kapal tanker Spanyol, Sandra tapias, akan sarat dengan jutaan barel, dibeli oleh kilang Spanyol Cepsa SA, pada sore hari.
(z0 / sarat-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Sandra""
                        :op2 ""tapias"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / negara
                                     :wiki ""Spain""
                                     :name (z5 / nama
                                               :op1 ""Spain""))
                           :ARG2 (z6 / tanker)))
    :ARG1 (z7 / barel)
    :ARG1-of (z8 / beli-01
                 :ARG0 (z9 / kilang
                           :wiki -
                           :name (z10 / nama
                                      :op1 ""Cepsa""
                                      :op2 ""SA""))
                 :time (z11 / entitas-tanggal
                            :dayperiod (z12 / sore
                                            :mod (z13 / hari)))))"
"# ::id 1777
# ::annotator indoamrbart-mbart-fted
# ::snt Kontraktor Brian Rose, 36, dan Joseph Quattrone, 35, yang dihukum karena menyerahkan ratusan faktur palsu ke Blue Cross, akan dihukum pada bulan Januari.
(z0 / terpidana-01
    :ARG1 (z1 / dan
              :op1 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Brian""
                                 :op2 ""Rose"")
                       :ARG0-of (z4 / memiliki-peran-org-91
                                    :ARG2 (z5 / orang
                                              :wiki -
                                              :name (z6 / nama
                                                        :op1 ""Joseph""
                                                        :op2 ""Quattrone""))))
              :op2 (z7 / orang
                       :wiki -
                       :name (z8 / nama
                                 :op1 ""Joseph""
                                 :op2 ""Quattrone"")
                       :ARG0-of (z9 / memiliki-peran-org-91
                                    :ARG2 (z10 / orang
                                               :wiki -
                                               :name (z11 / nama
                                                          :op1 ""Blue""
                                                          :op2 ""Cross"")))))
    :time (z12 / entitas-tanggal))"
"# ::id 1778
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Dewan melakukannya, dan menerima pengunduran diri itu,"""" kata ketua komite kompensasi pertukaran, H. Carl McCall.""
(z0 / ujar-01
    :ARG0 (z1 / ketua
              :poss (z2 / komite
                        :mod (z3 / kompensasi
                                 :mod (z4 / pertukaran)))
              :domain (z5 / orang
                          :wiki -
                          :name (z6 / nama
                                    :op1 ""H.""
                                    :op2 ""Carl""
                                    :op3 ""McCall"")))
    :ARG1-of (z7 / kata-01
                 :ARG0 (z8 / orang
                           :wiki -
                           :name (z9 / nama
                                     :op1 ""H.""
                                     :op2 ""Carl""
                                     :op3 ""McCall""))))"
"# ::id 1779
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Dia meninggal melakukan sesuatu yang dia sukai, yang menerbangkan helikopternya,"""" kata sang ayah, yang tinggal di Fairview Heights, tepat di luar St. Louis, Mo.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-rel-91
                           :ARG2 (z3 / ayah))
              :ARG0-of (z4 / tinggal-01
                           :location (z5 / kota
                                         :wiki ""FairviewHeights,St.Louis""
                                         :name (z6 / nama
                                                   :op1 ""Fairview""
                                                   :op2 ""Heights"")
                                         :location (z7 / luar
                                                       :op1 (z8 / kota
                                                                :wiki ""St.Louis""
                                                                :name (z9 / nama
                                                                          :op1 ""St.""
                                                                          :op2 ""Louis""))))))
    :ARG1 (z10 / meninggal-01
               :ARG1 (z11 / dia)
               :manner (z12 / membuat-02
                            :ARG0 z11
                            :ARG1 (z13 / sesuatu
                                       :ARG1-of (z14 / suka-01
                                                     :ARG0 z11)))))"
"# ::id 1780
# ::annotator indoamrbart-mbart-fted
# ::snt ""Jawabannya jelas ya, """"kata Dr. Larry Norton, wakil dokter untuk program kanker payudara di Memorial Sloan-Kettering Cancer Center di New York City.""
(z0 / jelas-01
    :ARG0 (z1 / tanyakan-01
              :ARG0 (z2 / dokter
                        :wiki -
                        :name (z3 / nama
                                  :op1 ""Larry""
                                  :op2 ""Norton""))
              :ARG1 (z4 / program
                        :mod (z5 / kanker
                                 :mod (z6 / payudara)))
              :location (z7 / fasilitas
                            :wiki -
                            :name (z8 / nama
                                      :op1 ""Memorial""
                                      :op2 ""Sloan-Kettering""
                                      :op3 ""Cancer""
                                      :op4 ""Center"")
                            :location (z9 / kota
                                          :wiki ""NewYorkCity""
                                          :name (z10 / nama
                                                     :op1 ""New""
                                                     :op2 ""York""
                                                     :op3 ""City"")))))"
"# ::id 1781
# ::annotator indoamrbart-mbart-fted
# ::snt Quattrone, 47, sangat berpengaruh bekerja di Kantor Palo Alto Credit Suisse First Boston selama gelembung teknologi.
(z0 / bekerja-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Donna""
                        :op2 ""Tttrone"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG2 (z4 / ibu)))
    :location (z5 / kantor
                  :wiki -
                  :name (z6 / nama
                            :op1 ""First""
                            :op2 ""Boston"")
                  :part (z7 / teknologi))
    :time (z8 / gelembung
              :mod (z9 / teknologi))
    :location (z10 / kota
                   :wiki ""Boston,Massachusetts""
                   :name (z11 / nama
                              :op1 ""Boston""))
    :time (z12 / entitas-tanggal
               :dayperiod (z13 / pagi
                               :mod (z14 / sangat))))"
"# ::id 1782
# ::annotator indoamrbart-mbart-fted
# ::snt Dr Mark McClean, dokter umum keluarga, mengatakan seandainya obat itu diberikan kepada Jonathan sebelumnya, dia akan mempertahankan lebih banyak fungsi otaknya.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Dr.""
                        :op2 ""Mark""
                        :op3 ""McClean"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / keluarga)
                           :ARG2 (z5 / dokter
                                     :mod (z6 / umum))))
    :ARG1 (z7 / menjaga-01
              :ARG0 (z8 / orang
                        :wiki -
                        :name (z9 / nama
